사용본거지법정동명,연료,200912 승용 비사업용,200912 승용 사업용,200912 승합 비사업용,200912 승합 사업용,200912 특수 비사업용,200912 특수 사업용,200912 화물 비사업용,200912 화물 사업용,201012 승용 비사업용,201012 승용 사업용,201012 승합 비사업용,201012 승합 사업용,201012 특수 비사업용,201012 특수 사업용,201012 화물 비사업용,201012 화물 사업용,201112 승용 비사업용,201112 승용 사업용,201112 승합 비사업용,201112 승합 사업용,201112 특수 비사업용,201112 특수 사업용,201112 화물 비사업용,201112 화물 사업용,201212 승용 비사업용,201212 승용 사업용,201212 승합 비사업용,201212 승합 사업용,201212 특수 비사업용,201212 특수 사업용,201212 화물 비사업용,201212 화물 사업용,201312 승용 비사업용,201312 승용 사업용,201312 승합 비사업용,201312 승합 사업용,201312 특수 비사업용,201312 특수 사업용,201312 화물 비사업용,201312 화물 사업용,201412 승용 비사업용,201412 승용 사업용,201412 승합 비사업용,201412 승합 사업용,201412 특수 비사업용,201412 특수 사업용,201412 화물 비사업용,201412 화물 사업용,201512 승용 비사업용,201512 승용 사업용,201512 승합 비사업용,201512 승합 사업용,201512 특수 비사업용,201512 특수 사업용,201512 화물 비사업용,201512 화물 사업용,201612 승용 비사업용,201612 승용 사업용,201612 승합 비사업용,201612 승합 사업용,201612 특수 비사업용,201612 특수 사업용,201612 화물 비사업용,201612 화물 사업용,201712 승용 비사업용,201712 승용 사업용,201712 승합 비사업용,201712 승합 사업용,201712 특수 비사업용,201712 특수 사업용,201712 화물 비사업용,201712 화물 사업용,201812 승용 비사업용,201812 승용 사업용,201812 승합 비사업용,201812 승합 사업용,201812 특수 비사업용,201812 특수 사업용,201812 화물 비사업용,201812 화물 사업용
서울특별시 영등포구 영등포동4가,하이브리드(휘발유+전기),1,,,,,,,,1,,,,,,,,1,,,,,,,,2,,,,,,,,2,,,,,,,,3,2,,,,,,,3,2,,,,,,,7,,,,,,,,5,,,,,,,,6,,,,,,,
서울특별시 영등포구 영등포동4가,휘발유,85,,,,,,,,72,,,,,,,,56,,,,,,,,57,,,,,,,,107,,,,,,,,116,,,,,,,,119,,,,,,,,117,,,,,,,,111,,,,,,1,,115,,,,,,1,
서울특별시 영등포구 영등포동4가,휘발유(무연),62,,,,,,,,80,,,,,,,,85,,,,,,,,73,,,,,,,,132,,,,,,,,128,39,,,,,,,119,39,,,,,,,117,18,,,,,,,113,20,,,,,,,121,10,,,,,,
서울특별시 영등포구 영등포동5가,경유,90,,25,,,,76,19,84,,25,,,,72,15,85,,25,,,,83,15,87,,25,,,,84,13,92,,28,11,,,79,7,96,,24,2,,1,87,5,95,,26,2,,,82,4,108,,24,2,,,80,4,99,,25,24,,,77,4,94,,24,23,1,,77,4
서울특별시 영등포구 영등포동5가,기타연료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
서울특별시 영등포구 영등포동5가,엘피지,27,2,22,,,,19,3,25,2,25,,,,18,3,25,3,25,,,,19,2,24,2,20,,,,13,2,30,3,19,,,,15,2,30,2,12,,,,9,2,32,,13,,,,8,3,30,,10,,,,12,3,32,,8,,,,13,1,33,,5,,,,14,1
서울특별시 영등포구 영등포동5가,전기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
서울특별시 영등포구 영등포동5가,하이브리드(LPG+전기),,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 영등포구 영등포동5가,하이브리드(휘발유+전기),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,,,,,,,2,,,,,,,,4,,,,,,,,6,,,,,,,
서울특별시 영등포구 영등포동5가,휘발유,78,,,,,,1,,93,1,,,,,1,,110,,,,,,1,,94,,,,,,1,,98,,,,,,1,,105,,,,,,1,,98,,,,,,1,,97,,,,,,1,,104,,,,,,1,,103,,,,,,2,
서울특별시 영등포구 영등포동5가,휘발유(무연),132,,,,,,,,119,4,,,,,,,143,,,,,,,,145,,,,,,,,144,,,,,,,,132,,,,,,,,129,,,,,,,,127,,,,,,,,138,,,,,,,,119,,,,,,,
서울특별시 영등포구 영등포동6가,경유,42,,22,,,,81,,42,,23,,,,92,1,46,,25,,,,91,1,44,,26,,,,94,2,48,,30,,,,98,2,56,,24,,,,98,2,61,,22,,,,94,1,64,,24,,1,,97,,81,,24,,1,,111,,81,,26,,1,,112,
서울특별시 영등포구 영등포동6가,엘피지,17,,8,,,,19,,22,,7,,,,21,,25,,5,,,,21,,29,,5,,,,18,,27,,3,,,,20,,27,,4,,,,19,,25,,5,,,,18,,25,,5,,,,19,,24,,3,,,,16,,24,,2,,,,13,
서울특별시 영등포구 영등포동6가,하이브리드(휘발유+전기),,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,2,,,,,,,,3,,,,,,,,3,,,,,,,,1,,,,,,,,3,,,,,,,,8,,,,,,,
서울특별시 영등포구 영등포동6가,휘발유,57,,,,,,,,71,,,,,,,,72,,,,,,,,79,,,,,,,,86,,,,,,,,86,,,,,,,,86,,,,,,,,87,,,,,,,,84,,,,,,,,99,,,,,,,
서울특별시 영등포구 영등포동6가,휘발유(무연),113,,,,,,,,119,,,,,,1,,116,,,,,,,,122,,,,,,,,122,,1,,,,,,107,,,,,,,,112,,,,,,,,120,,,,,,,,134,,,,,,,,150,,,,,,,
서울특별시 영등포구 영등포동7가,경유,333,,83,6,2,,471,58,350,,84,5,11,,478,38,373,,85,7,11,,488,40,394,,85,7,12,,487,35,367,7,76,9,12,,446,19,383,8,77,7,12,1,440,21,408,7,72,11,12,3,435,19,442,,68,12,12,2,444,18,716,,80,11,13,1,480,20,805,,72,12,14,2,488,22
서울특별시 영등포구 영등포동7가,기타연료,,,,,,,,,,,,,,,3,,,,,,,,2,,,,,,,,2,,,,1,,,,2,,,,1,,,,2,,,,,,,,2,,,,,,,,1,,,,,,,,4,,,,1,,,,7,
